version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Delhi Capitals
info,gender,female
info,season,2025/26
info,date,2026/01/10
info,event,Women's Premier League
info,match_number,3
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,H Kaur
info,umpire,KM Gandhi
info,umpire,K Kelkar
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,N Janani
info,match_referee,RB Kalita
info,winner,Mumbai Indians
info,winner_runs,50
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,NJ Carey
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,PN Khemnar
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,T Vasistha
info,player,Delhi Capitals,L Lee
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,L Wolvaardt
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,CA Henry
info,player,Delhi Capitals,S Rana
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,N Shree Charani
info,player,Delhi Capitals,NSS Sharma
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,CA Henry,75820733
info,registry,people,G Kamalini,2a5ed897
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,N Janani,d06a665d
info,registry,people,N Shree Charani,583ce32c
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,NS Prasad,f903aec2
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,PN Khemnar,53707c8c
info,registry,people,RB Kalita,8d7ad5a6
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Rana,c4c374d9
info,registry,people,S Sajana,a4dcac97
info,registry,people,Shafali Verma,d8f59089
info,registry,people,T Vasistha,ad78dab0
ball,1,0.1,Mumbai Indians,AC Kerr,G Kamalini,M Kapp,0,2,2,,,,,"",""
ball,1,0.2,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,0.6,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,0.7,Mumbai Indians,G Kamalini,AC Kerr,M Kapp,0,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,AC Kerr,G Kamalini,CA Henry,0,0,,,,,,caught,AC Kerr
ball,1,1.2,Mumbai Indians,NR Sciver-Brunt,G Kamalini,CA Henry,0,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,NR Sciver-Brunt,G Kamalini,CA Henry,2,0,,,,,,"",""
ball,1,1.4,Mumbai Indians,NR Sciver-Brunt,G Kamalini,CA Henry,4,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,NR Sciver-Brunt,G Kamalini,CA Henry,0,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,NR Sciver-Brunt,G Kamalini,CA Henry,4,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,G Kamalini,NR Sciver-Brunt,M Kapp,1,0,,,,,,"",""
ball,1,2.2,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,4,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,0,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,0,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,0,1,,1,,,,"",""
ball,1,2.6,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,0,0,,,,,,"",""
ball,1,2.7,Mumbai Indians,NR Sciver-Brunt,G Kamalini,M Kapp,0,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,G Kamalini,NR Sciver-Brunt,CA Henry,0,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,G Kamalini,NR Sciver-Brunt,CA Henry,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,G Kamalini,NR Sciver-Brunt,CA Henry,1,0,,,,,,"",""
