version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,New Zealand
info,gender,male
info,season,2023/24
info,date,2023/11/09
info,event,ICC Cricket World Cup
info,match_number,41
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,TA Boult
info,umpire,AT Holdstock
info,umpire,JS Wilson
info,reserve_umpire,PR Reiffel
info,tv_umpire,RA Kettleborough
info,match_referee,J Srinath
info,winner,New Zealand
info,winner_wickets,5
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,D Madushanka
info,player,New Zealand,DP Conway
info,player,New Zealand,R Ravindra
info,player,New Zealand,KS Williamson
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,TWM Latham
info,player,New Zealand,MJ Santner
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TG Southee
info,player,New Zealand,TA Boult
info,registry,people,AD Mathews,896d78ad
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,D Madushanka,de7d833e
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DM de Silva,7d608e12
info,registry,people,DP Conway,df5a6881
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,J Srinath,bad31fac
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Theekshana,f24c6701
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PR Reiffel,c9354f29
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Kettleborough,4017868f
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TWM Latham,e824e6ee
ball,1,0.1,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,MDKJ Perera,TA Boult,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,P Nissanka,MDKJ Perera,TG Southee,1,0,,,,,,"",""
ball,1,1.2,Sri Lanka,MDKJ Perera,P Nissanka,TG Southee,0,0,,,,,,"",""
ball,1,1.3,Sri Lanka,MDKJ Perera,P Nissanka,TG Southee,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,MDKJ Perera,P Nissanka,TG Southee,1,0,,,,,,"",""
ball,1,1.5,Sri Lanka,P Nissanka,MDKJ Perera,TG Southee,0,0,,,,,,caught,P Nissanka
ball,1,1.6,Sri Lanka,BKG Mendis,MDKJ Perera,TG Southee,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,MDKJ Perera,BKG Mendis,TA Boult,4,0,,,,,,"",""
ball,1,2.2,Sri Lanka,MDKJ Perera,BKG Mendis,TA Boult,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,MDKJ Perera,BKG Mendis,TA Boult,0,0,,,,,,"",""
ball,1,2.4,Sri Lanka,MDKJ Perera,BKG Mendis,TA Boult,0,1,1,,,,,"",""
ball,1,2.5,Sri Lanka,MDKJ Perera,BKG Mendis,TA Boult,1,0,,,,,,"",""
ball,1,2.6,Sri Lanka,BKG Mendis,MDKJ Perera,TA Boult,0,1,1,,,,,"",""
ball,1,2.7,Sri Lanka,BKG Mendis,MDKJ Perera,TA Boult,4,0,,,,,,"",""
ball,1,2.8,Sri Lanka,BKG Mendis,MDKJ Perera,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Sri Lanka,BKG Mendis,MDKJ Perera,TG Southee,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,BKG Mendis,MDKJ Perera,TG Southee,0,0,,,,,,"",""
ball,1,3.3,Sri Lanka,BKG Mendis,MDKJ Perera,TG Southee,1,0,,,,,,"",""
ball,1,3.4,Sri Lanka,MDKJ Perera,BKG Mendis,TG Southee,4,0,,,,,,"",""
ball,1,3.5,Sri Lanka,MDKJ Perera,BKG Mendis,TG Southee,6,0,,,,,,"",""
ball,1,3.6,Sri Lanka,MDKJ Perera,BKG Mendis,TG Southee,4,0,,,,,,"",""
ball,1,4.1,Sri Lanka,BKG Mendis,MDKJ Perera,TA Boult,0,0,,,,,,caught,BKG Mendis
ball,1,4.2,Sri Lanka,S Samarawickrama,MDKJ Perera,TA Boult,1,0,,,,,,"",""
