version,1.7.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Melbourne Renegades
info,gender,female
info,season,2024/25
info,date,2024/11/03
info,event,Women's Big Bash League
info,match_number,13
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,S Molineux
info,umpire,C Haysom
info,umpire,L McCabe
info,reserve_umpire,C Grant
info,tv_umpire,D Brigham
info,match_referee,RW Stratford
info,winner,Melbourne Renegades
info,winner_wickets,2
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,E Johnston
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Adelaide Strikers,AC Mushangwe
info,player,Melbourne Renegades,HK Matthews
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,A Capsey
info,player,Melbourne Renegades,E de Broughe
info,player,Melbourne Renegades,G Wareham
info,player,Melbourne Renegades,DJS Dottin
info,player,Melbourne Renegades,S Molineux
info,player,Melbourne Renegades,NE Stalenberg
info,player,Melbourne Renegades,N Faltum
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,TG Norris
info,registry,people,A Capsey,910dd54e
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,C Grant,876ed858
info,registry,people,C Haysom,e8eb3b33
info,registry,people,C Webb,1f4a8a2a
info,registry,people,D Brigham,464daf41
info,registry,people,D Brown,2e81be88
info,registry,people,DJS Dottin,53bee17f
info,registry,people,E Johnston,3785e30d
info,registry,people,E de Broughe,5b8826e0
info,registry,people,G Wareham,f0b4e47d
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Faltum,9a56c670
info,registry,people,NE Stalenberg,609c519e
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,RW Stratford,85489579
info,registry,people,S Molineux,99e23670
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,TG Norris,8ae7bb3e
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,4,0,,,,,,"",""
ball,1,0.2,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,0,0,,,,,,"",""
ball,1,0.3,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,1,0,,,,,,"",""
ball,1,0.4,Adelaide Strikers,L Wolvaardt,KM Mack,TG Norris,1,0,,,,,,"",""
ball,1,0.5,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,0,0,,,,,,"",""
ball,1,0.6,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,0,5,5,,,,,"",""
ball,1,0.7,Adelaide Strikers,KM Mack,L Wolvaardt,TG Norris,0,0,,,,,,"",""
ball,1,1.1,Adelaide Strikers,L Wolvaardt,KM Mack,HK Matthews,1,0,,,,,,"",""
ball,1,1.2,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,0,0,,,,,,"",""
ball,1,1.3,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,0,0,,,,,,"",""
ball,1,1.4,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,0,0,,,,,,"",""
ball,1,1.5,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,4,0,,,,,,"",""
ball,1,1.6,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,1,0,,,,,,"",""
ball,1,2.1,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,4,0,,,,,,"",""
ball,1,2.2,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,0,0,,,,,,"",""
ball,1,2.3,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,0,0,,,,,,"",""
ball,1,2.4,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,0,1,1,,,,,"",""
ball,1,2.5,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,0,0,,,,,,"",""
ball,1,2.6,Adelaide Strikers,KM Mack,L Wolvaardt,S Molineux,1,0,,,,,,"",""
ball,1,2.7,Adelaide Strikers,L Wolvaardt,KM Mack,S Molineux,1,0,,,,,,"",""
ball,1,3.1,Adelaide Strikers,L Wolvaardt,KM Mack,HK Matthews,1,0,,,,,,"",""
ball,1,3.2,Adelaide Strikers,KM Mack,L Wolvaardt,HK Matthews,1,0,,,,,,"",""
ball,1,3.3,Adelaide Strikers,L Wolvaardt,KM Mack,HK Matthews,0,0,,,,,,"",""
