version,1.7.0
info,balls_per_over,6
info,team,Western Storm
info,team,The Blaze
info,gender,female
info,season,2024
info,date,2024/05/08
info,event,Rachael Heyhoe Flint Trophy
info,match_number,24
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,The Blaze
info,toss_decision,field
info,umpire,AC Harris
info,umpire,J Naeem
info,match_referee,WR Smith
info,winner,The Blaze
info,winner_wickets,4
info,player,Western Storm,A Griffiths
info,player,Western Storm,Sophia Smale
info,player,Western Storm,FC Wilson
info,player,Western Storm,SN Luff
info,player,Western Storm,NAJ Wraith
info,player,Western Storm,N Holland
info,player,Western Storm,KA Jones
info,player,Western Storm,A Wellington
info,player,Western Storm,MJ Robbins
info,player,Western Storm,C Skelton
info,player,Western Storm,E Anderson
info,player,The Blaze,TT Beaumont
info,player,The Blaze,T Graves
info,player,The Blaze,N de Klerk
info,player,The Blaze,M Kelly
info,player,The Blaze,B Gammon
info,player,The Blaze,KL Gordon
info,player,The Blaze,S Munro
info,player,The Blaze,E Claridge
info,player,The Blaze,J Groves
info,player,The Blaze,LF Higham
info,player,The Blaze,G Ballinger
info,registry,people,A Griffiths,091001f8
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Harris,ef14c0ec
info,registry,people,B Gammon,2d45a2da
info,registry,people,C Skelton,db362015
info,registry,people,E Anderson,5f86ce69
info,registry,people,E Claridge,d8c6a647
info,registry,people,FC Wilson,a28132bd
info,registry,people,G Ballinger,2f485713
info,registry,people,J Groves,11ff23e3
info,registry,people,J Naeem,0dc3fee0
info,registry,people,KA Jones,fefd324c
info,registry,people,KL Gordon,00823a96
info,registry,people,LF Higham,fbd79b9b
info,registry,people,M Kelly,ebf683f9
info,registry,people,MJ Robbins,f929cd04
info,registry,people,N Holland,aefd0567
info,registry,people,N de Klerk,ea544967
info,registry,people,NAJ Wraith,1ec1998e
info,registry,people,S Munro,b4e026de
info,registry,people,SN Luff,e19307f3
info,registry,people,Sophia Smale,c296dba1
info,registry,people,T Graves,e893fef7
info,registry,people,TT Beaumont,b2664905
info,registry,people,WR Smith,ad962377
ball,1,0.1,Western Storm,A Griffiths,Sophia Smale,S Munro,0,0,,,,,,"",""
ball,1,0.2,Western Storm,A Griffiths,Sophia Smale,S Munro,0,0,,,,,,caught,A Griffiths
ball,1,0.3,Western Storm,FC Wilson,Sophia Smale,S Munro,0,0,,,,,,"",""
ball,1,0.4,Western Storm,FC Wilson,Sophia Smale,S Munro,0,0,,,,,,"",""
ball,1,0.5,Western Storm,FC Wilson,Sophia Smale,S Munro,0,0,,,,,,"",""
ball,1,0.6,Western Storm,FC Wilson,Sophia Smale,S Munro,1,0,,,,,,"",""
ball,1,1.1,Western Storm,FC Wilson,Sophia Smale,G Ballinger,0,0,,,,,,"",""
ball,1,1.2,Western Storm,FC Wilson,Sophia Smale,G Ballinger,0,0,,,,,,"",""
ball,1,1.3,Western Storm,FC Wilson,Sophia Smale,G Ballinger,0,0,,,,,,"",""
ball,1,1.4,Western Storm,FC Wilson,Sophia Smale,G Ballinger,1,0,,,,,,"",""
ball,1,1.5,Western Storm,Sophia Smale,FC Wilson,G Ballinger,0,0,,,,,,"",""
ball,1,1.6,Western Storm,Sophia Smale,FC Wilson,G Ballinger,0,0,,,,,,"",""
ball,1,2.1,Western Storm,FC Wilson,Sophia Smale,S Munro,1,0,,,,,,"",""
ball,1,2.2,Western Storm,Sophia Smale,FC Wilson,S Munro,4,0,,,,,,"",""
ball,1,2.3,Western Storm,Sophia Smale,FC Wilson,S Munro,0,0,,,,,,"",""
ball,1,2.4,Western Storm,Sophia Smale,FC Wilson,S Munro,0,0,,,,,,"",""
ball,1,2.5,Western Storm,Sophia Smale,FC Wilson,S Munro,0,0,,,,,,"",""
ball,1,2.6,Western Storm,Sophia Smale,FC Wilson,S Munro,0,0,,,,,,"",""
ball,1,3.1,Western Storm,FC Wilson,Sophia Smale,G Ballinger,4,0,,,,,,"",""
ball,1,3.2,Western Storm,FC Wilson,Sophia Smale,G Ballinger,0,4,,,,4,,"",""
ball,1,3.3,Western Storm,FC Wilson,Sophia Smale,G Ballinger,0,0,,,,,,"",""
