version,1.7.0
info,balls_per_over,6
info,team,Worcestershire
info,team,Lancashire
info,gender,male
info,season,2022
info,date,2022/07/01
info,event,Vitality Blast
info,venue,"County Ground, New Road, Worcester"
info,city,Worcester
info,toss_winner,Lancashire
info,toss_decision,field
info,umpire,ID Blackwell
info,umpire,PK Baldwin
info,match_referee,Wayne Noon
info,winner,Worcestershire
info,winner_runs,29
info,player,Worcestershire,BL D'Oliveira
info,player,Worcestershire,JD Libby
info,player,Worcestershire,C Munro
info,player,Worcestershire,MM Ali
info,player,Worcestershire,Kashif Ali
info,player,Worcestershire,EG Barnard
info,player,Worcestershire,GH Roderick
info,player,Worcestershire,DJ Bravo
info,player,Worcestershire,DY Pennington
info,player,Worcestershire,PR Brown
info,player,Worcestershire,MT Stanley
info,player,Lancashire,PD Salt
info,player,Lancashire,JC Buttler
info,player,Lancashire,SJ Croft
info,player,Lancashire,TH David
info,player,Lancashire,DJ Vilas
info,player,Lancashire,LWP Wells
info,player,Lancashire,DJ Lamb
info,player,Lancashire,L Wood
info,player,Lancashire,TW Hartley
info,player,Lancashire,RJ Gleeson
info,player,Lancashire,MW Parkinson
info,registry,people,BL D'Oliveira,9679838c
info,registry,people,C Munro,af2c687b
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Lamb,27c5a793
info,registry,people,DJ Vilas,087210b1
info,registry,people,DY Pennington,219cc59e
info,registry,people,EG Barnard,a510bdd3
info,registry,people,GH Roderick,7081848a
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JC Buttler,99b75528
info,registry,people,JD Libby,0d61d8f0
info,registry,people,Kashif Ali,f3b26fe4
info,registry,people,L Wood,65b6943c
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MM Ali,bb351c23
info,registry,people,MT Stanley,faa8cfba
info,registry,people,MW Parkinson,19708692
info,registry,people,PD Salt,3d284ca3
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,PR Brown,1efd12d1
info,registry,people,RJ Gleeson,402f8494
info,registry,people,SJ Croft,ab474682
info,registry,people,TH David,f1f99156
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Wayne Noon,736e1761
ball,1,0.1,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,1,0,,,,,,"",""
ball,1,0.2,Worcestershire,JD Libby,BL D'Oliveira,TW Hartley,1,0,,,,,,"",""
ball,1,0.3,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,0,0,,,,,,"",""
ball,1,0.4,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,0,2,,,,2,,"",""
ball,1,0.5,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,3,0,,,,,,"",""
ball,1,0.6,Worcestershire,JD Libby,BL D'Oliveira,TW Hartley,0,0,,,,,,"",""
ball,1,1.1,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,4,0,,,,,,"",""
ball,1,1.2,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,1,0,,,,,,"",""
ball,1,1.3,Worcestershire,JD Libby,BL D'Oliveira,RJ Gleeson,0,0,,,,,,"",""
ball,1,1.4,Worcestershire,JD Libby,BL D'Oliveira,RJ Gleeson,0,1,,,,1,,"",""
ball,1,1.5,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,1,0,,,,,,"",""
ball,1,1.6,Worcestershire,JD Libby,BL D'Oliveira,RJ Gleeson,1,0,,,,,,"",""
ball,1,2.1,Worcestershire,JD Libby,BL D'Oliveira,L Wood,1,0,,,,,,"",""
ball,1,2.2,Worcestershire,BL D'Oliveira,JD Libby,L Wood,0,1,1,,,,,"",""
ball,1,2.3,Worcestershire,BL D'Oliveira,JD Libby,L Wood,1,0,,,,,,"",""
ball,1,2.4,Worcestershire,JD Libby,BL D'Oliveira,L Wood,1,0,,,,,,"",""
ball,1,2.5,Worcestershire,BL D'Oliveira,JD Libby,L Wood,1,0,,,,,,"",""
ball,1,2.6,Worcestershire,JD Libby,BL D'Oliveira,L Wood,4,0,,,,,,"",""
ball,1,2.7,Worcestershire,JD Libby,BL D'Oliveira,L Wood,4,0,,,,,,"",""
ball,1,3.1,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.2,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,4,0,,,,,,"",""
ball,1,3.3,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.4,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.5,Worcestershire,BL D'Oliveira,JD Libby,RJ Gleeson,1,0,,,,,,"",""
ball,1,3.6,Worcestershire,JD Libby,BL D'Oliveira,RJ Gleeson,4,0,,,,,,"",""
ball,1,4.1,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,0,1,1,,,,,"",""
ball,1,4.2,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,2,0,,,,,,"",""
ball,1,4.3,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,4,0,,,,,,"",""
ball,1,4.4,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,1,0,,,,,,"",""
ball,1,4.5,Worcestershire,JD Libby,BL D'Oliveira,TW Hartley,0,1,1,,,,,"",""
ball,1,4.6,Worcestershire,JD Libby,BL D'Oliveira,TW Hartley,1,0,,,,,,"",""
ball,1,4.7,Worcestershire,BL D'Oliveira,JD Libby,TW Hartley,1,0,,,,,,"",""
ball,1,4.8,Worcestershire,JD Libby,BL D'Oliveira,TW Hartley,1,0,,,,,,"",""
ball,1,5.1,Worcestershire,JD Libby,BL D'Oliveira,L Wood,0,0,,,,,,caught,JD Libby
ball,1,5.2,Worcestershire,C Munro,BL D'Oliveira,L Wood,2,0,,,,,,"",""
ball,1,5.3,Worcestershire,C Munro,BL D'Oliveira,L Wood,1,0,,,,,,"",""
ball,1,5.4,Worcestershire,BL D'Oliveira,C Munro,L Wood,1,0,,,,,,"",""
ball,1,5.5,Worcestershire,C Munro,BL D'Oliveira,L Wood,0,1,,,,1,,"",""
ball,1,5.6,Worcestershire,BL D'Oliveira,C Munro,L Wood,4,0,,,,,,"",""
ball,1,6.1,Worcestershire,C Munro,BL D'Oliveira,MW Parkinson,1,0,,,,,,"",""
ball,1,6.2,Worcestershire,BL D'Oliveira,C Munro,MW Parkinson,1,0,,,,,,"",""
ball,1,6.3,Worcestershire,C Munro,BL D'Oliveira,MW Parkinson,0,0,,,,,,"",""
ball,1,6.4,Worcestershire,C Munro,BL D'Oliveira,MW Parkinson,1,0,,,,,,"",""
ball,1,6.5,Worcestershire,BL D'Oliveira,C Munro,MW Parkinson,1,0,,,,,,"",""
ball,1,6.6,Worcestershire,C Munro,BL D'Oliveira,MW Parkinson,1,0,,,,,,"",""
ball,1,7.1,Worcestershire,C Munro,BL D'Oliveira,LWP Wells,0,1,1,,,,,"",""
ball,1,7.2,Worcestershire,C Munro,BL D'Oliveira,LWP Wells,1,0,,,,,,"",""
ball,1,7.3,Worcestershire,BL D'Oliveira,C Munro,LWP Wells,1,0,,,,,,"",""
ball,1,7.4,Worcestershire,C Munro,BL D'Oliveira,LWP Wells,0,0,,,,,,"",""
ball,1,7.5,Worcestershire,C Munro,BL D'Oliveira,LWP Wells,1,0,,,,,,"",""
ball,1,7.6,Worcestershire,BL D'Oliveira,C Munro,LWP Wells,0,0,,,,,,"",""
ball,1,7.7,Worcestershire,BL D'Oliveira,C Munro,LWP Wells,0,0,,,,,,caught,BL D'Oliveira
ball,1,8.1,Worcestershire,C Munro,MM Ali,MW Parkinson,1,0,,,,,,"",""
ball,1,8.2,Worcestershire,MM Ali,C Munro,MW Parkinson,1,0,,,,,,"",""
