version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,UP Warriorz
info,gender,female
info,season,2025/26
info,date,2026/01/15
info,event,Women's Premier League
info,match_number,8
info,venue,"Dr DY Patil Sports Academy, Navi Mumbai"
info,city,Navi Mumbai
info,toss_winner,UP Warriorz
info,toss_decision,field
info,player_of_match,H Deol
info,umpire,KM Gandhi
info,umpire,K Kelkar
info,reserve_umpire,N Janani
info,tv_umpire,Bhavesh Patel
info,match_referee,MA Chakraborty
info,winner,UP Warriorz
info,winner_wickets,7
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,NJ Carey
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,PN Khemnar
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,T Vasistha
info,player,UP Warriorz,MM Lanning
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,P Litchfield
info,player,UP Warriorz,H Deol
info,player,UP Warriorz,CL Tryon
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,S Asha
info,player,UP Warriorz,S Pandey
info,player,UP Warriorz,K Goud
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DB Sharma,201fef33
info,registry,people,G Kamalini,2a5ed897
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,K Goud,4d622fee
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KP Navgire,617a0b79
info,registry,people,MA Chakraborty,02264ff3
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Janani,d06a665d
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,PN Khemnar,53707c8c
info,registry,people,S Asha,77143581
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sajana,a4dcac97
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,T Vasistha,ad78dab0
ball,1,0.1,Mumbai Indians,AB Kaur,G Kamalini,K Goud,1,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,G Kamalini,AB Kaur,K Goud,1,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,AB Kaur,G Kamalini,K Goud,4,0,,,,,,"",""
ball,1,0.6,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,G Kamalini,AB Kaur,S Pandey,0,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,G Kamalini,AB Kaur,S Pandey,0,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,G Kamalini,AB Kaur,S Pandey,0,0,,,,,,"",""
ball,1,1.4,Mumbai Indians,G Kamalini,AB Kaur,S Pandey,1,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,1,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,G Kamalini,AB Kaur,S Pandey,0,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,2.2,Mumbai Indians,AB Kaur,G Kamalini,K Goud,4,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,AB Kaur,G Kamalini,K Goud,2,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,2.6,Mumbai Indians,AB Kaur,G Kamalini,K Goud,1,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,0,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,0,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,4,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,0,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,AB Kaur,G Kamalini,S Pandey,1,0,,,,,,"",""
ball,1,4.1,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,4.2,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,4.3,Mumbai Indians,AB Kaur,G Kamalini,K Goud,4,0,,,,,,"",""
ball,1,4.4,Mumbai Indians,AB Kaur,G Kamalini,K Goud,0,0,,,,,,"",""
ball,1,4.5,Mumbai Indians,AB Kaur,G Kamalini,K Goud,1,0,,,,,,"",""
ball,1,4.6,Mumbai Indians,G Kamalini,AB Kaur,K Goud,0,0,,,,,,"",""
ball,1,5.1,Mumbai Indians,AB Kaur,G Kamalini,DB Sharma,0,0,,,,,,"",""
ball,1,5.2,Mumbai Indians,AB Kaur,G Kamalini,DB Sharma,1,0,,,,,,"",""
ball,1,5.3,Mumbai Indians,G Kamalini,AB Kaur,DB Sharma,0,0,,,,,,"",""
ball,1,5.4,Mumbai Indians,G Kamalini,AB Kaur,DB Sharma,1,0,,,,,,"",""
ball,1,5.5,Mumbai Indians,AB Kaur,G Kamalini,DB Sharma,4,0,,,,,,"",""
ball,1,5.6,Mumbai Indians,AB Kaur,G Kamalini,DB Sharma,1,0,,,,,,"",""
ball,1,6.1,Mumbai Indians,AB Kaur,G Kamalini,K Goud,4,0,,,,,,"",""
