version,1.7.0
info,balls_per_over,6
info,team,Northern Knights
info,team,North-West Warriors
info,gender,male
info,season,2023
info,date,2023/05/25
info,event,Cricket Ireland Inter-Provincial Limited Over Cup
info,match_number,6
info,venue,"Bready Cricket Club, Magheramason, Bready"
info,city,Bready
info,toss_winner,North-West Warriors
info,toss_decision,field
info,umpire,Jareth McCready
info,umpire,M Hawthorne
info,match_referee,G McCrea
info,winner,North-West Warriors
info,winner_wickets,3
info,player,Northern Knights,GR Adair
info,player,Northern Knights,R Pretorius
info,player,Northern Knights,J Matchett
info,player,Northern Knights,C Carmichael
info,player,Northern Knights,M Topping
info,player,Northern Knights,NA Rock
info,player,Northern Knights,TF van Woerkom
info,player,Northern Knights,T Koen
info,player,Northern Knights,J Mulder
info,player,Northern Knights,MJ Humphreys
info,player,Northern Knights,J Manley
info,player,North-West Warriors,ST Doheny
info,player,North-West Warriors,AP Chore
info,player,North-West Warriors,MN Erlank
info,player,North-West Warriors,SJ MacBeth
info,player,North-West Warriors,SC Getkate
info,player,North-West Warriors,C Melly
info,player,North-West Warriors,W McClintock
info,player,North-West Warriors,J Wilson
info,player,North-West Warriors,H Zimmerman
info,player,North-West Warriors,C Robertson
info,player,North-West Warriors,R MacBeth
info,registry,people,AP Chore,8ae09b92
info,registry,people,C Carmichael,f3b158d9
info,registry,people,C Melly,48641e31
info,registry,people,C Robertson,d26de4de
info,registry,people,G McCrea,46f4a901
info,registry,people,GR Adair,4ec96094
info,registry,people,H Zimmerman,b85fa1d4
info,registry,people,J Manley,05f85159
info,registry,people,J Matchett,a994e43c
info,registry,people,J Mulder,6b64e7a3
info,registry,people,J Wilson,20f9e6b1
info,registry,people,Jareth McCready,84fa5232
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,M Topping,33f44dfc
info,registry,people,MJ Humphreys,2c54c49b
info,registry,people,MN Erlank,704af8eb
info,registry,people,NA Rock,43f4087c
info,registry,people,R MacBeth,b4402d8a
info,registry,people,R Pretorius,8ff85f5c
info,registry,people,SC Getkate,c8065f31
info,registry,people,SJ MacBeth,5d4338a2
info,registry,people,ST Doheny,4992d6f6
info,registry,people,T Koen,806f03dd
info,registry,people,TF van Woerkom,70f2f922
info,registry,people,W McClintock,b16ddb79
ball,1,0.1,Northern Knights,GR Adair,R Pretorius,R MacBeth,4,0,,,,,,"",""
ball,1,0.2,Northern Knights,GR Adair,R Pretorius,R MacBeth,0,0,,,,,,"",""
ball,1,0.3,Northern Knights,GR Adair,R Pretorius,R MacBeth,2,0,,,,,,"",""
ball,1,0.4,Northern Knights,GR Adair,R Pretorius,R MacBeth,1,0,,,,,,"",""
ball,1,0.5,Northern Knights,R Pretorius,GR Adair,R MacBeth,0,0,,,,,,"",""
ball,1,0.6,Northern Knights,R Pretorius,GR Adair,R MacBeth,0,0,,,,,,"",""
ball,1,1.1,Northern Knights,GR Adair,R Pretorius,J Wilson,0,0,,,,,,"",""
ball,1,1.2,Northern Knights,GR Adair,R Pretorius,J Wilson,1,0,,,,,,"",""
ball,1,1.3,Northern Knights,R Pretorius,GR Adair,J Wilson,0,0,,,,,,"",""
ball,1,1.4,Northern Knights,R Pretorius,GR Adair,J Wilson,4,0,,,,,,"",""
ball,1,1.5,Northern Knights,R Pretorius,GR Adair,J Wilson,0,0,,,,,,"",""
ball,1,1.6,Northern Knights,R Pretorius,GR Adair,J Wilson,0,0,,,,,,"",""
ball,1,2.1,Northern Knights,GR Adair,R Pretorius,R MacBeth,4,0,,,,,,"",""
ball,1,2.2,Northern Knights,GR Adair,R Pretorius,R MacBeth,0,0,,,,,,"",""
ball,1,2.3,Northern Knights,GR Adair,R Pretorius,R MacBeth,1,0,,,,,,"",""
ball,1,2.4,Northern Knights,R Pretorius,GR Adair,R MacBeth,0,0,,,,,,"",""
ball,1,2.5,Northern Knights,R Pretorius,GR Adair,R MacBeth,0,0,,,,,,"",""
ball,1,2.6,Northern Knights,R Pretorius,GR Adair,R MacBeth,0,0,,,,,,"",""
ball,1,3.1,Northern Knights,GR Adair,R Pretorius,J Wilson,1,0,,,,,,"",""
ball,1,3.2,Northern Knights,R Pretorius,GR Adair,J Wilson,2,0,,,,,,"",""
ball,1,3.3,Northern Knights,R Pretorius,GR Adair,J Wilson,0,0,,,,,,"",""
ball,1,3.4,Northern Knights,R Pretorius,GR Adair,J Wilson,0,0,,,,,,"",""
ball,1,3.5,Northern Knights,R Pretorius,GR Adair,J Wilson,2,0,,,,,,"",""
