version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Hobart Hurricanes
info,gender,female
info,season,2024/25
info,date,2024/11/23
info,event,Women's Big Bash League
info,match_number,38
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Perth Scorchers
info,toss_decision,bat
info,player_of_match,KE Bryce
info,umpire,Ahmad Khan
info,umpire,J Thomas
info,reserve_umpire,J Buscall
info,tv_umpire,Ashlee Gibbons
info,match_referee,CA Burke
info,winner,Hobart Hurricanes
info,winner_wickets,3
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,BM Halliday
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,M Hinkley
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,C Leeson
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,E Hoskin
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,SW Bates
info,player,Hobart Hurricanes,T Saville
info,player,Hobart Hurricanes,KE Bryce
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,LG Smith
info,player,Hobart Hurricanes,RA Mair
info,player,Hobart Hurricanes,A Smith
info,registry,people,A King,83558266
info,registry,people,A Smith,b125ce63
info,registry,people,AL Edgar,795ff893
info,registry,people,Ahmad Khan,a63ceba6
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,C Leeson,d71e33bb
info,registry,people,C Piparo,276f3dde
info,registry,people,CA Burke,629654e6
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,E Hoskin,cd2ad878
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,J Buscall,abc082bf
info,registry,people,J Thomas,118c3b91
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Lee,7b01ce83
info,registry,people,LG Smith,9c515112
info,registry,people,M Darke,57a90666
info,registry,people,M Hinkley,3812165d
info,registry,people,M Strano,f57d5dbb
info,registry,people,NJ Carey,dff806f4
info,registry,people,RA Mair,d5eb8b84
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,T Saville,2ef9bdcb
ball,1,0.1,Perth Scorchers,BL Mooney,M Darke,M Strano,1,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,M Darke,BL Mooney,M Strano,4,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,M Darke,BL Mooney,M Strano,0,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,M Darke,BL Mooney,M Strano,0,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,M Darke,BL Mooney,M Strano,4,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,M Darke,BL Mooney,M Strano,0,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,BL Mooney,M Darke,RA Mair,4,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,BL Mooney,M Darke,RA Mair,0,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,BL Mooney,M Darke,RA Mair,1,0,,,,,,"",""
ball,1,1.4,Perth Scorchers,M Darke,BL Mooney,RA Mair,0,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,M Darke,BL Mooney,RA Mair,0,1,,,,1,,"",""
ball,1,1.6,Perth Scorchers,BL Mooney,M Darke,RA Mair,0,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,M Darke,BL Mooney,M Strano,1,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,BL Mooney,M Darke,M Strano,1,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,M Darke,BL Mooney,M Strano,0,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,M Darke,BL Mooney,M Strano,1,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,BL Mooney,M Darke,M Strano,5,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,M Darke,BL Mooney,M Strano,0,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,BL Mooney,M Darke,RA Mair,0,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,BL Mooney,M Darke,RA Mair,0,0,,,,,,run out,M Darke
ball,1,3.3,Perth Scorchers,BM Halliday,BL Mooney,RA Mair,1,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,BL Mooney,BM Halliday,RA Mair,0,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,BL Mooney,BM Halliday,RA Mair,1,0,,,,,,"",""
ball,1,3.6,Perth Scorchers,BM Halliday,BL Mooney,RA Mair,4,0,,,,,,"",""
ball,1,4.1,Perth Scorchers,BL Mooney,BM Halliday,LG Smith,0,0,,,,,,"",""
